Компонент,Код,Тип,Актор,Требование
eStorage,FR-001,,MUST,Возможность генерации и отслеживания уникальных идентификаторов документов всех типов в Системе
eStorage,FR-002,,MAY,Возможность генерировать документы на основании предопределенных шаблонов и данных Системы
eStorage,FR-003,,MUST,Возможность хранить и управлять версиями документов Системы
eAccess,FR-004,ЗО,,Возможность создания виртуального пространства для сбора всей информации для подготовки тендерной процедуры
eAccess,FR-005,ЗО,,Возможность предоставления информации о тендерной процедуре в соответствии с выбранным методом закупки
eAccess,FR-006,ЗО,,Возможность организовывать предмет закупки в виде набора лотов
eAccess,FR-007,ЗО,,Возможность определять для тендерной процедуры критерии оценки (неценовые критерии) и управлять ими
eAccess,FR-008,ЗО,,Возможность определять для тендерной процедуры критерии квалификации и управлять ими
eAccess,FR-009,ЗО,,Возможность модифицировать документы тендерной процедуры
eAccess,FR-010,ЗО,,Возможность отменить тендерную процедуру 
eAccess,FR-011,ЭO,,Возможность доступа к информации об объявленных процедурах
eClarification,FR-012,ЭО,,Возможность отправить запрос на разъяснения в процедуре закупки
eClarification,FR-013,ЭО,,Возможность обратиться с требованием к ЗО в рамках процедуры
eClarification,FR-014,ЗО,,Возможность разъяснения в рамках требований тендерной документации
eClarification,FR-015,ЗО,,Функциональность блокирования хода процедуры в случае непредставления ЗО запрошенных разъяснений в срок
eClarification,FR-016,ЭО,,Функциональность блокирования для ЭО запрашивать разъяснения и обращаться к ЭО с требованиями за Х дней до завершения периода обсуждений
eAuthentification,FR-017,,,Возможность идентифицировать учетную запись пользователя и определить уровень его доступа и роль в Системе
eAuthentification,FR-018,,,Возможность распределять функциональность Системы между авторизированными пользователями согласно их ролей в Системе
eAuction,FR07-019,,,Возможность формирования виртуального пространства где будет собираться и храниться вся информация относящаяся к конкретному электронному аукциону
eAuction,FR07-020,,,Возможность конфигурироваться электронных аукционов различны типов
eAuction,FR07-021,,,Возможность организовать общий аукцион для нескольких линий объединенных в единый лот или для нескольких линий торги по которым протекают отдельно в рамках одного сеанса электронного аукциона
eAuction,FR07-022,,,Возможность планировать проведение электронных аукционов согласно календарю рабочих дней и графику официального рабочего времени и автоматически запускать электронный аукцион в запланированное время 
eAuction,FR07-023,,,Возможность пригласить кандидатов к участию в конкретном электронном аукционе
eAuction,FR07-024,,,Возможность определить подключился ли приглашенный участник к электронному аукциону
eAuction,FR07-025,,,Возможность наблюдать за ходом электронного аукциона в режиме реального времени
eAuction,FR07-026,,,Возможность последовательно менять значения своего тендерного предложения в ходе электронного аукционе с учетом установленных правил и ограничений
eAuction,FR07-027,,,Возможность автоматически ранжировать участников аукциона в режиме реального времени согласно текущим абсолютным значениям их ценовых предложений и с учетом правил ранжирования, определенным сценарием данного электронного аукциона
eAuction,FR07-028,,,Возможность отслеживать относительную позицию своего предложения по отношению к предложениям других участников аукциона в режиме реального времени
eAuction,FR07-029,,,Возможность фиксировать лог активности участников на протяжении всего сеанса электронного аукциона
eAuction,FR07-030,,,Возможность генерирования отчета по результатам электронного аукциона
