Code,Name,Description
CRITERION.EXCLUSION.CONVICTIONS.PARTICIPATION_IN_CRIMINAL_ORGANISATION,Participation in a criminal organisation,"Has the economic operator itself or any person who is a member of its administrative, management or supervisory body or has powers of representation, decision or control therein been the subject of a conviction by final judgment for participation in a criminal organisation, by a conviction rendered at the most five years ago or in which an exclusion period set out directly in the conviction continues to be applicable? "
CRITERION.EXCLUSION.CONVICTIONS.CORRUPTION,Corruption,"Has the economic operator itself or any person who is a member of its administrative, management or supervisory body or has powers of representation, decision or control therein been the subject of a conviction by final judgment for corruption, by a conviction rendered at the most five years ago or in which an exclusion period set out directly in the conviction continues to be applicable?"
CRITERION.EXCLUSION.CONVICTIONS.FRAUD,Fraud,"Has the economic operator itself or any person who is a member of its administrative, management or supervisory body or has powers of representation, decision or control therein been the subject of a conviction by final judgment for fraud, by a conviction rendered at the most five years ago or in which an exclusion period set out directly in the conviction continues to be applicable? "
CRITERION.EXCLUSION.CONVICTIONS.TERRORIST_OFFENCES,Terrorist offences or offences linked to terrorist activities,"Has the economic operator itself or any person who is a member of its administrative, management or supervisory body or has powers of representation, decision or control therein been the subject of a conviction by final judgment for terrorist offences or offences linked to terrorist activities, by a conviction rendered at the most five years ago or in which an exclusion period set out directly in the conviction continues to be applicable? "
CRITERION.EXCLUSION.CONVICTIONS.MONEY_LAUNDERING,Money laundering or terrorist financing,"Has the economic operator itself or any person who is a member of its administrative, management or supervisory body or has powers of representation, decision or control therein been the subject of a conviction by final judgment for money laundering or terrorist financing, by a conviction rendered at the most five years ago or in which an exclusion period set out directly in the conviction continues to be applicable? "
CRITERION.EXCLUSION.CONVICTIONS.CHILD_LABOUR-HUMAN_TRAFFICKING,Child labour and other forms of trafficking in human beings,"Has the economic operator itself or any person who is a member of its administrative, management or supervisory body or has powers of representation, decision or control therein been the subject of a conviction by final judgment for child labour and other forms of trafficking in human beings, by a conviction rendered at the most five years ago or in which an exclusion period set out directly in the conviction continues to be applicable? "
CRITERION.EXCLUSION.CONTRIBUTIONS.PAYMENT_OF_TAXES,Payment of taxes,"Has the economic operator breached its obligations relating to the payment of taxes, both in the country in which it is established and in Member State of the contracting authority or contracting entity if other than the country of establishment?"
CRITERION.EXCLUSION.CONTRIBUTIONS.PAYMENT_OF_SOCIAL_SECURITY,Payment of social security contributions,"Has the economic operator breached its obligations relating to the payment social security contributions, both in the country in which it is established and in Member State of the contracting authority or contracting entity if other than the country of establishment?"
CRITERION.EXCLUSION.SOCIAL.ENVIRONMENTAL_LAW,Breaching of obligations in the fields of environmental law,"Has the economic operator, to its knowledge, breached its obligations in the fields of environmental law?"
CRITERION.EXCLUSION.SOCIAL.SOCIAL_LAW,Breaching of obligations in the fields of social law,"Has the economic operator, to its knowledge, breached its obligations in the fields of social law? "
CRITERION.EXCLUSION.SOCIAL.LABOUR_LAW,Breaching of obligations in the fields of labour law,"Has the economic operator, to its knowledge, breached its obligations in the fields of labour law?"
CRITERION.EXCLUSION.BUSINESS.BANKRUPTCY,Bankruptcy,Is the economic operator bankrupt? 
CRITERION.EXCLUSION.BUSINESS.INSOLVENCY,Insolvency,Is the economic operator the subject of insolvency or winding-up? 
CRITERION.EXCLUSION.BUSINESS.CREDITORS_ARRANGEMENT,Arrangement with creditors,Is the economic operator in arrangement with creditors? 
